left_record_uid,right_record_uid,left_source,right_source,left_name,right_name,left_status,right_status,distance_m,name_score,match_rule,is_grouped_match
NAICS:naics_444,PNNL:building_01219083554,NAICS,PNNL,T5@CHICAGO II LP,T5 Chicago II,Operating/inferred,Operating/inferred,4.215,1.0,spatial_100m,True
NAICS:naics_436,PNNL:building_00863162825,NAICS,PNNL,STREAM DATA CENTERS,Stream Chicago I,Operating/inferred,Operating/inferred,4.774,1.0,spatial_100m,True
FracTracker:frac_row_1359,PNNL:building_00124088810,FracTracker,PNNL,US Signal Data Center,Lincoln Rackhouse,Operating,Operating/inferred,8.364,0.0,spatial_100m,True
FracTracker:frac_row_270,PNNL:building_00863162820,FracTracker,PNNL,Stream Data Center: Chicago 2,Stream Chicago II,Operating,Operating/inferred,12.169,1.0,spatial_100m,True
FracTracker:frac_row_271,PNNL:building_01219083554,FracTracker,PNNL,T5 Data Center,T5 Chicago II,Approved/Permitted/Under construction,Operating/inferred,12.502,1.0,spatial_100m,True
NAICS:naics_94,PNNL:building_00377032061,NAICS,PNNL,EQUINIX LLC,Equinix Chicago CH3,Operating/inferred,Operating/inferred,13.633,1.0,spatial_100m,True
FracTracker:frac_row_271,NAICS:naics_444,FracTracker,NAICS,T5 Data Center,T5@CHICAGO II LP,Approved/Permitted/Under construction,Operating/inferred,16.2,1.0,spatial_100m,True
FracTracker:frac_row_280,PNNL:building_01217649348,FracTracker,PNNL,ORD-01 Data Center,Aligned Data Center - Chicago ORD-01,Operating,Operating/inferred,19.755,1.0,spatial_100m,True
FracTracker:frac_row_281,PNNL:building_01217649350,FracTracker,PNNL,ORD-02 Data Center,Aligned Data Center - Chicago ORD-02,Approved/Permitted/Under construction,Operating/inferred,35.424,1.0,spatial_100m,True
FracTracker:frac_row_269,PNNL:building_00863162825,FracTracker,PNNL,Stream Data Center: Chicago 1,Stream Chicago I,Operating,Operating/inferred,55.625,1.0,spatial_100m,True
FracTracker:frac_row_269,NAICS:naics_436,FracTracker,NAICS,Stream Data Center: Chicago 1,STREAM DATA CENTERS,Operating,Operating/inferred,58.452,1.0,spatial_100m,True
NAICS:naics_86,PNNL:building_00384690290,NAICS,PNNL,CHICAGO ENTERPRISE LLC,Element Critical CH1,Operating/inferred,Operating/inferred,70.865,0.0,spatial_100m,True
NAICS:naics_300,PNNL:building_00209786637,NAICS,PNNL,QUALITY TECHNOLOGY SERVICES LLC,QTS Chicago,Operating/inferred,Operating/inferred,294.612,1.0,name_supported_500m,True
FracTracker:frac_row_280,PNNL:building_01217649350,FracTracker,PNNL,ORD-01 Data Center,Aligned Data Center - Chicago ORD-02,Operating,Operating/inferred,119.566,1.0,candidate_only_code_conflict,False
FracTracker:frac_row_281,PNNL:building_01217649348,FracTracker,PNNL,ORD-02 Data Center,Aligned Data Center - Chicago ORD-01,Approved/Permitted/Under construction,Operating/inferred,141.882,1.0,candidate_only_code_conflict,False
FracTracker:frac_row_269,PNNL:building_00377032058,FracTracker,PNNL,Stream Data Center: Chicago 1,EdgeConneX CHI02,Operating,Operating/inferred,147.754,0.0,candidate_only_code_conflict,False
NAICS:naics_436,PNNL:building_00377032058,NAICS,PNNL,STREAM DATA CENTERS,EdgeConneX CHI02,Operating/inferred,Operating/inferred,175.433,0.0,candidate_only_low_specificity,False
NAICS:naics_436,PNNL:building_00174242795,NAICS,PNNL,STREAM DATA CENTERS,EdgeConneX CHI01,Operating/inferred,Operating/inferred,209.312,0.0,candidate_only_low_specificity,False
NAICS:naics_94,PNNL:building_00377032058,NAICS,PNNL,EQUINIX LLC,EdgeConneX CHI02,Operating/inferred,Operating/inferred,209.446,0.0,candidate_only_low_specificity,False
