left_record_uid,right_record_uid,left_source,right_source,left_name,right_name,left_status,right_status,distance_m,name_score,match_rule,is_grouped_match
NAICS:naics_317,PNNL:building_00451413811,NAICS,PNNL,150 S. FIRST STREETNA LLC,,Operating/inferred,Operating/inferred,1.605,0.0,spatial_100m,True
NAICS:naics_261,PNNL:building_00460076753,NAICS,PNNL,EQUINIX LLC,Equinix San Jose SV3,Operating/inferred,Operating/inferred,1.988,1.0,spatial_100m,True
FracTracker:frac_row_887,PNNL:building_01188715508,FracTracker,PNNL,PowerHouse/AREP ABX-1,PowerHouse ABX-1,Operating,Operating/inferred,2.115,1.0,spatial_100m,True
FracTracker:frac_row_200,PNNL:building_00284044002,FracTracker,PNNL,Atlanta AT2,DataSite Atlanta,Operating,Operating/inferred,2.226,0.333,spatial_100m,True
FracTracker:frac_row_883,PNNL:campus_01020953454,FracTracker,PNNL,IAD24,Digital Loudoun Plaza,Operating,Operating/inferred,2.297,0.5,spatial_100m,True
FracTracker:frac_row_1214,PNNL:building_00299929061,FracTracker,PNNL,FR SUMMIT AWS,Amazon IAD12,Operating,Operating/inferred,2.367,0.0,spatial_100m,True
FracTracker:frac_row_1059,PNNL:building_00460060341,FracTracker,PNNL,AMAZON DATA SERVICES INC,Amazon IAD52,Operating,Operating/inferred,2.38,1.0,spatial_100m,True
FracTracker:frac_row_79,PNNL:campus_00635022480,FracTracker,PNNL,ATL2,Ascent - Atlanta Data Center,Operating,Operating/inferred,2.394,0.0,spatial_100m,True
FracTracker:frac_row_1111,PNNL:campus_00840582927,FracTracker,PNNL,Middletown Data Center,Middletown Data Center,Operating,Operating/inferred,2.607,1.0,spatial_100m,True
FracTracker:frac_row_849,PNNL:building_00649319778,FracTracker,PNNL,ACC7 Digital Realty,Digital Realty ACC7,Operating,Operating/inferred,2.786,1.0,spatial_100m,True
FracTracker:frac_row_495,PNNL:building_01238955733,FracTracker,PNNL,Orangeburg Data Center,fifteenfortyseven CSR ORNY1,Operating,Operating/inferred,3.432,0.0,spatial_100m,True
NAICS:naics_501,PNNL:building_00502927599,NAICS,PNNL,DATABANK LTD MCI 3 (AIR),Data Center Lenexa,Operating/inferred,Operating/inferred,3.472,0.0,spatial_100m,True
NAICS:naics_263,PNNL:building_00054121151,NAICS,PNNL,"QUALITY INVESTMENT PROPERTIES SANTA CLARA, LLC",QTS Santa Clara 1,Operating/inferred,Operating/inferred,3.55,0.333,spatial_100m,True
FracTracker:frac_row_678,PNNL:building_00254773884,FracTracker,PNNL,ALLEN DATA CENTER ZX026E,,Operating,Operating/inferred,3.582,0.0,spatial_100m,True
FracTracker:frac_row_80,PNNL:building_00039083797,FracTracker,PNNL,Atlanta-Alpharetta,Flexential Atlanta - Alpharetta Data Center,Operating,Operating/inferred,3.687,1.0,spatial_100m,True
FracTracker:frac_row_1198,PNNL:building_00460056024,FracTracker,PNNL,DATA CENTER BUILDING C,Amazon IAD15,Operating,Operating/inferred,3.696,0.0,spatial_100m,True
NAICS:naics_236,PNNL:building_00209073657,NAICS,PNNL,"DIGITAL 1725 COMSTOCK, LLC",Digital Realty Silicon Valley SJC29,Operating/inferred,Operating/inferred,3.782,1.0,spatial_100m,True
NAICS:naics_268,PNNL:building_00209073657,NAICS,PNNL,DIGITAL REALTY TRUST,Digital Realty Silicon Valley SJC29,Operating/inferred,Operating/inferred,3.782,1.0,spatial_100m,True
