record_uid,source,source_layer,source_file,source_record_id,source_name,operator,status,source_latitude,source_longitude,coordinate_valid,geometry_type,facility_size_sqft,campus_area_sqft,mw,canonical_state_source,canonical_county_source,city,address,zip,location_confidence,source_detail_json,normalized_name,normalized_operator,source_is_currently_built,site_group_id
FracTracker:frac_row_1328,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_1328,Barrington Hills Data Center,,Cancelled,42.102898,-88.228096,True,Point,,,,IL,Cook,Barrington Hills,Pond Gate Dr & Penny Rd,60010.0,High,"{""community_pushback"": ""Yes"", ""date_created"": ""02/16/2026"", ""date_updated"": ""02/26/2026"", ""info_source_1"": ""https://www.shawlocal.com/northwest-herald/news/2026/01/29/2-billion-data-center-proposal-in-barrington-hills-withdrawn/"", ""information_source"": ""Media Monitoring"", ""sizerank"": ""Unknown""}",barrington hills,,False,site_00310
FracTracker:frac_row_1359,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_1359,US Signal Data Center,,Operating,41.772236,-88.21706,True,Point,33000.0,,1.35-6,IL,Kane,Aurora,4267 Meridian Pkwy,60504.0,High,"{""community_pushback"": ""Unknown"", ""date_created"": ""03/04/2026"", ""date_updated"": ""04/27/2026"", ""info_source_1"": ""https://www.datacenterdynamics.com/en/news/us-signal-acquires-data-center-in-aurora-illinois/"", ""information_source"": ""Media Monitoring"", ""sizerank"": ""Small (0-10 MW)""}",us signal,,True,site_00343
PNNL:building_00124088810,PNNL,building,raw-data/data-center-locations/PNNL/PNNL_2026.02.09_building.geojson,building_00124088810,Lincoln Rackhouse,,Operating/inferred,41.77216480463177,-88.21709086831733,True,Polygon,70123.0,,,IL,DuPage County,,,,,"{""county_id"": ""043"", ""osm_id"": ""00124088810"", ""ref"": """", ""sqft"": ""70123.0"", ""state"": ""Illinois""}",lincoln rackhouse,,True,site_00343
FracTracker:frac_row_1377,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_1377,PowerHouse Data Centers,,Proposed,41.465225,-88.06284,True,Point,3468000.0,,1800,IL,Will,Jackson Twp/ Joliet,S Rowell Rd & W Bernhard Rd,60421.0,High,"{""community_pushback"": ""Yes"", ""date_created"": ""03/13/2026"", ""date_updated"": ""03/13/2026"", ""info_source_1"": ""https://www.datacenterdynamics.com/en/news/proposal-for-20bn-data-center-outside-chicago-recommended-for-approval-by-local-planning-commission/"", ""information_source"": ""Media Monitoring"", ""sizerank"": ""Mega campus (>1,000 MW)""}",powerhouse,,False,site_00361
FracTracker:frac_row_1429,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_1429,PowerHouse Hillwood Holding data center,PowerHouse Hillwood Holding,Approved/Permitted/Under construction,41.46266,-88.05086,True,Point,3468000.0,,1800,IL,Will,Joliet,Schweitzer Rd and S Ridge Rd,60421.0,High,"{""community_pushback"": ""Unknown"", ""date_created"": ""04/02/2026"", ""date_updated"": ""04/02/2026"", ""info_source_1"": ""https://www.datacenterdynamics.com/en/news/approval-given-to-20bn-data-center-near-chicago-illinois/"", ""information_source"": ""Media Monitoring"", ""sizerank"": ""Mega campus (>1,000 MW)""}",powerhouse hillwood holding,powerhouse hillwood holding,False,site_00419
FracTracker:frac_row_259,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_259,Edged Data Center,Edged,Approved/Permitted/Under construction,41.80707,-88.24102,True,Point,,,72,IL,DuPage,Aurora,2835 Bilter Road,60502.0,High,"{""community_pushback"": ""Unknown"", ""date_created"": ""11/26/2025"", ""date_updated"": ""11/26/2025"", ""info_source_1"": ""https://datacenter.news/story/edged-expands-aurora-campus-with-waterless-ai-data-centre"", ""information_source"": ""Media Monitoring"", ""sizerank"": ""Large (51-99 MW)""}",edged,edged,False,site_00603
FracTracker:frac_row_260,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_260,Western Hospitality Partners Data Center,,Suspended,41.256397,-88.2417,True,Point,,,,IL,Will,Braidwood/ Braceville,near Interstate 55 and Reed Rd,60407.0,High,"{""community_pushback"": ""Unknown"", ""date_created"": ""01/26/2026"", ""date_updated"": ""01/26/2026"", ""info_source_1"": ""https://www.datacenterdynamics.com/en/news/planned-data-center-project-outside-chicago-illinois-paused-due-to-energy-infrastructure/"", ""information_source"": ""Media Monitoring"", ""sizerank"": ""Unknown""}",western hospitality,,False,site_00605
FracTracker:frac_row_261,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_261,HydraVault Data Center,,Approved/Permitted/Under construction,41.84624,-87.6257,True,Point,,,20,IL,Cook,Chicago,2538 S Wabash Ave,60616.0,High,"{""community_pushback"": ""Yes"", ""date_created"": ""09/17/2025"", ""date_updated"": ""02/11/2026"", ""info_source_1"": ""https://www.datacenterdynamics.com/en/news/new-firm-announces-plans-for-20mw-liquid-cooled-data-center-in-chicago/"", ""information_source"": ""Media Monitoring"", ""sizerank"": ""Medium (11-50 MW)""}",hydravault,,False,site_00606
FracTracker:frac_row_262,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_262,Karis Critical Data Center,,Proposed,41.894,-88.7222,True,Point,1750000.0,,,IL,DeKalb,Dekalb,E Gurler and S Peace Rds,60115.0,Medium,"{""community_pushback"": ""Unknown"", ""date_created"": ""09/03/2025"", ""date_updated"": ""09/03/2025"", ""info_source_1"": ""https://www.datacenterdynamics.com/en/news/seven-building-data-center-campus-gets-preliminary-ok-from-illinois-planning-commission/"", ""information_source"": ""Media Monitoring"", ""sizerank"": ""Unknown""}",karis critical,,False,site_00607
FracTracker:frac_row_263,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_263,Gail Technology Data Center,Gail Technology,Proposed,39.16273,-88.51865,True,Point,,,,IL,Effingham,Effingham,15244 E. 1700th Avenue,62401.0,High,"{""community_pushback"": ""Unknown"", ""date_created"": ""01/01/2026"", ""date_updated"": ""01/01/2026"", ""info_source_1"": ""https://www.effinghamdailynews.com/news/environmentally-friendly-data-center-coming-to-effingham/article_7f38e269-f40d-49d8-b607-55f26c7d4bf3.html"", ""information_source"": ""Media Monitoring"", ""sizerank"": ""Unknown""}",gail technology,gail technology,False,site_00608
