record_uid,source,source_layer,source_file,source_record_id,source_name,operator,status,source_latitude,source_longitude,coordinate_valid,geometry_type,facility_size_sqft,campus_area_sqft,mw,canonical_state_source,canonical_county_source,city,address,zip,location_confidence,source_detail_json,normalized_name,normalized_operator,source_is_currently_built,site_group_id
FracTracker:frac_row_0,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_0,Project Marvel,Logistic Land Investments LLC,Proposed,33.342,-87.0341,True,Point,4500000.0,,1200,AL,Jefferson,Bessemer,Rock Mountain Lake Rd,35022.0,High,"{""community_pushback"": ""Yes"", ""date_created"": ""09/16/2025"", ""date_updated"": ""03/13/2026"", ""info_source_1"": ""https://www.datacenterdynamics.com/en/news/700-acre-data-center-in-bessemer-alabama-approved-despite-opposition/"", ""information_source"": ""Media Monitoring"", ""sizerank"": ""Mega campus (>1,000 MW)""}",project marvel,logistic land investments,False,site_00001
FracTracker:frac_row_1,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_1,DC Blox,,Operating,33.50051,-86.821,True,Point,,,,AL,Jefferson,Birmingham,433 6th St S,35233.0,High,"{""community_pushback"": ""Unknown"", ""date_created"": ""08/25/2025"", ""date_updated"": ""08/25/2025"", ""info_source_1"": """", ""information_source"": ""Media Monitoring"", ""sizerank"": ""Unknown""}",blox,,True,site_00002
FracTracker:frac_row_10,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_10,Data center,Willowbend Capital LLC,Proposed,34.71681,-92.1737,True,Point,,,,AR,Pulaski,Little Rock,Little Rock Port,72206.0,Medium,"{""community_pushback"": ""Unknown"", ""date_created"": ""05/27/2025"", ""date_updated"": ""05/27/2025"", ""info_source_1"": ""https://www.datacenterdynamics.com/en/news/mystery-developer-plans-1bn-data-center-in-little-rock-arkansas/"", ""information_source"": ""Media Monitoring"", ""sizerank"": ""Unknown""}",,willowbend capital,False,site_00003
FracTracker:frac_row_100,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_100,CODA at Tech Sq (GA Tech High Performance Computing Center),Georgia Tech Foundation,Operating,33.77551,-84.38868,True,Point,93000.0,,14,GA,Fulton,Atlanta,771 Spring Street,30308.0,High,"{""community_pushback"": ""Unknown"", ""date_created"": ""10/16/2025"", ""date_updated"": ""04/24/2026"", ""info_source_1"": ""https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=2569"", ""information_source"": ""Sci4GA"", ""sizerank"": ""Medium (11-50 MW)""}",coda at tech sq ga tech high performance computing,georgia tech foundation,True,site_00004
FracTracker:frac_row_1000,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_1000,Gardner Property,,Proposed,38.7958,-77.62219,True,Point,1787266.0,,,VA,Prince William,Gainesville,14414 MCGRAWS CORNER,20155.0,High,"{""community_pushback"": ""Unknown"", ""date_created"": ""07/15/2025"", ""date_updated"": ""10/17/2025"", ""info_source_1"": ""://egcss.pwcgov.org/SelfSerhttpsvice#/plan/54197449-7161-4168-861a-d85676a180a3"", ""information_source"": ""PEC"", ""sizerank"": ""Unknown""}",gardner,,False,site_00005
FracTracker:frac_row_1001,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_1001,GCDC PURCHASER PHASE 1 LLC,GCDC PURCHASER PHASE 1 LLC,Expanding,38.802406,-77.58256,True,Point,482223.0,,,VA,Prince William,Gainesville,13760 UNIVERSITY BLVD,20109.0,High,"{""community_pushback"": ""Unknown"", ""date_created"": ""04/10/2024"", ""date_updated"": ""02/10/2025"", ""info_source_1"": ""https://pwc.publicaccessnow.com/PropertyDetail.aspx?mpropertynumber=026368&mtab=property&p=026368"", ""information_source"": ""PEC"", ""sizerank"": ""Unknown""}",gcdc purchaser phase 1,gcdc purchaser phase 1,False,site_00006
FracTracker:frac_row_1002,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_1002,I-66 and Route 29 Technology Park,NTT Global Data Centers,Proposed,38.8008,-77.61256,True,Point,2957680.0,,,VA,Prince William,Gainesville,14300 JOHN MARSHALL HWY,20155.0,High,"{""community_pushback"": ""Unknown"", ""date_created"": ""04/10/2024"", ""date_updated"": ""10/17/2025"", ""info_source_1"": ""https://www.datacenterdynamics.com/en/news/data-center-granted-rezoning-and-special-use-permission-in-prince-william-county-virginia/"", ""information_source"": ""PEC"", ""sizerank"": ""Unknown""}",i 66 route 29 technology,ntt global,False,site_00007
FracTracker:frac_row_1003,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_1003,John Marshall CommonsTech Park,CTP-1 LLC,Proposed,38.803947,-77.61687,True,Point,530000.0,,,VA,Prince William,Gainesville,14392 JOHN MARSHALL HWY,20155.0,High,"{""community_pushback"": ""Unknown"", ""date_created"": ""04/10/2024"", ""date_updated"": ""10/17/2025"", ""info_source_1"": ""https://egcss.pwcgov.org/SelfService#/plan/823a2554-aa0a-47c1-8c5f-010ff3d947ce"", ""information_source"": ""PEC"", ""sizerank"": ""Unknown""}",john marshall commonstech,ctp 1,False,site_00008
FracTracker:frac_row_1004,FracTracker,,raw-data/data-center-locations/FracTracker/FracTracker_01_29_26.csv,frac_row_1004,PORPOISE VENTURES LLC (Digital Realty Trust),PORPOISE VENTURES LLC (Digital Realty Trust),Operating,38.778057,-77.59468,True,Point,227465.0,,,VA,Prince William,Gainesville,8217 LINTON HALL RD,20155.0,High,"{""community_pushback"": ""Unknown"", ""date_created"": ""04/10/2024"", ""date_updated"": ""10/17/2025"", ""info_source_1"": ""https://pwc.publicaccessnow.com/PropertyDetail.aspx?mpropertynumber=204354&mtab=property&p=204354"", ""information_source"": ""PEC"", ""sizerank"": ""Unknown""}",porpoise ventures digital trust,porpoise ventures digital trust,True,site_00009
PNNL:building_00046831933,PNNL,building,raw-data/data-center-locations/PNNL/PNNL_2026.02.09_building.geojson,building_00046831933,VA 4,Digital Realty,Operating/inferred,38.778111268742116,-77.594876153305,True,Polygon,263538.0,,,VA,Prince William County,,,,,"{""county_id"": ""153"", ""osm_id"": ""00046831933"", ""ref"": """", ""sqft"": ""263538.0"", ""state"": ""Virginia""}",va 4,digital,True,site_00009
