site_group_id,canonical_name,sources,source_count,member_count,primary_source,primary_source_layer,primary_record_uid,status_summary,is_currently_built,has_pipeline_status,state,county,city,latitude,longitude,coordinate_valid,geometry_type,operator_summary,name_aliases,facility_size_sqft,campus_area_sqft,mw_summary,reference_confidence,match_notes
site_00310,Barrington Hills Data Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1328,Cancelled,False,True,IL,Cook,Barrington Hills,42.102898,-88.228096,True,Point,,Barrington Hills Data Center,,,,single_source_curated,
site_00343,Lincoln Rackhouse,FracTracker|PNNL,2,2,PNNL,building,PNNL:building_00124088810,Operating,True,False,IL,DuPage County,Aurora,41.77216480463177,-88.21709086831733,True,Polygon,,Lincoln Rackhouse|US Signal Data Center,33000.0,,1.35-6,multi_source,FracTracker:frac_row_1359<->PNNL:building_00124088810:spatial_100m:8.364m
site_00361,PowerHouse Data Centers,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1377,Proposed,False,True,IL,Will,Jackson Twp/ Joliet,41.465225,-88.06284,True,Point,,PowerHouse Data Centers,3468000.0,,1800,single_source_curated,
site_00419,PowerHouse Hillwood Holding data center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1429,Approved/Permitted/Under construction,False,True,IL,Will,Joliet,41.46266,-88.05086,True,Point,PowerHouse Hillwood Holding,PowerHouse Hillwood Holding data center,3468000.0,,1800,single_source_curated,
site_00603,Edged Data Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_259,Approved/Permitted/Under construction,False,True,IL,DuPage,Aurora,41.80707,-88.24102,True,Point,Edged,Edged Data Center,,,72,single_source_curated,
site_00605,Western Hospitality Partners Data Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_260,Suspended,False,True,IL,Will,Braidwood/ Braceville,41.256397,-88.2417,True,Point,,Western Hospitality Partners Data Center,,,,single_source_curated,
site_00606,HydraVault Data Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_261,Approved/Permitted/Under construction,False,True,IL,Cook,Chicago,41.84624,-87.6257,True,Point,,HydraVault Data Center,,,20,single_source_curated,
site_00607,Karis Critical Data Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_262,Proposed,False,True,IL,DeKalb,Dekalb,41.894,-88.7222,True,Point,,Karis Critical Data Center,1750000.0,,,single_source_curated,
site_00608,Gail Technology Data Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_263,Proposed,False,True,IL,Effingham,Effingham,39.16273,-88.51865,True,Point,Gail Technology,Gail Technology Data Center,,,,single_source_curated,
site_00609,Aligned,FracTracker,1,1,FracTracker,,FracTracker:frac_row_264,Proposed,False,True,IL,Cook,Elk Grove Village,42.03573,-87.9766,True,Point,,Aligned,50000.0,,,single_source_curated,
site_00610,Aligned,FracTracker,1,1,FracTracker,,FracTracker:frac_row_265,Proposed,False,True,IL,Cook,Elk Grove Village,42.03674,-87.9827,True,Point,,Aligned,115000.0,,,single_source_curated,
site_00611,Aligned,FracTracker,1,1,FracTracker,,FracTracker:frac_row_266,Proposed,False,True,IL,Cook,Elk Grove Village,42.03374,-87.9824,True,Point,,Aligned,177000.0,,,single_source_curated,
site_00612,Nexstar Media Group Data Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_267,Proposed,False,True,IL,Cook,Elk Grove Village,42.01142,-88.0317,True,Point,,Nexstar Media Group Data Center,700000.0,,,single_source_curated,
site_00613,Stream Data Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_268,Proposed,False,True,IL,Cook,Elk Grove Village,42.01401,-87.95375,True,Point,,Stream Data Center,,,,single_source_curated,
site_00614,Stream Chicago I,FracTracker|NAICS|PNNL,3,3,PNNL,building,PNNL:building_00863162825,Operating,True,False,IL,Cook County,Elk Grove Village,42.00260065820328,-87.95113481547399,True,Polygon,Stream,STREAM DATA CENTERS|Stream Chicago I|Stream Data Center: Chicago 1,126689.0,,15,multi_source,FracTracker:frac_row_269<->NAICS:naics_436:spatial_100m:58.452m ; FracTracker:frac_row_269<->PNNL:building_00863162825:spatial_100m:55.625m ; NAICS:naics_436<->PNNL:building_00863162825:spatial_100m:4.774m
site_00616,Stream Chicago II,FracTracker|PNNL,2,2,PNNL,building,PNNL:building_00863162820,Operating,True,False,IL,Cook County,Elk Grove Village,41.99912438131275,-87.95776458161538,True,Polygon,Stream,Stream Chicago II|Stream Data Center: Chicago 2,226000.0,,32,multi_source,FracTracker:frac_row_270<->PNNL:building_00863162820:spatial_100m:12.169m
site_00617,T5 Chicago II,FracTracker|NAICS|PNNL,3,3,PNNL,building,PNNL:building_01219083554,Approved/Permitted/Under construction,True,True,IL,Cook County,Elk Grove Village,42.02304233326569,-87.97555687597257,True,Polygon,T5 Data Centers,T5 Chicago II|T5 Data Center|T5@CHICAGO II LP,250000.0,,36,multi_source,FracTracker:frac_row_271<->NAICS:naics_444:spatial_100m:16.2m ; FracTracker:frac_row_271<->PNNL:building_01219083554:spatial_100m:12.502m ; NAICS:naics_444<->PNNL:building_01219083554:spatial_100m:4.215m
