site_group_id,canonical_name,sources,source_count,member_count,primary_source,primary_source_layer,primary_record_uid,status_summary,is_currently_built,has_pipeline_status,state,county,city,latitude,longitude,coordinate_valid,geometry_type,operator_summary,name_aliases,facility_size_sqft,campus_area_sqft,mw_summary,reference_confidence,match_notes
site_00001,Project Marvel,FracTracker,1,1,FracTracker,,FracTracker:frac_row_0,Proposed,False,True,AL,Jefferson,Bessemer,33.342,-87.0341,True,Point,Logistic Land Investments LLC,Project Marvel,4500000.0,,1200,single_source_curated,
site_00002,DC Blox,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1,Operating,True,False,AL,Jefferson,Birmingham,33.50051,-86.821,True,Point,,DC Blox,,,,single_source_curated,
site_00003,Data center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_10,Proposed,False,True,AR,Pulaski,Little Rock,34.71681,-92.1737,True,Point,Willowbend Capital LLC,Data center,,,,single_source_curated,
site_00004,CODA at Tech Sq (GA Tech High Performance Computing Center),FracTracker,1,1,FracTracker,,FracTracker:frac_row_100,Operating,True,False,GA,Fulton,Atlanta,33.77551,-84.38868,True,Point,Georgia Tech Foundation,CODA at Tech Sq (GA Tech High Performance Computing Center),93000.0,,14,single_source_curated,
site_00005,Gardner Property,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1000,Proposed,False,True,VA,Prince William,Gainesville,38.7958,-77.62219,True,Point,,Gardner Property,1787266.0,,,single_source_curated,
site_00006,GCDC PURCHASER PHASE 1 LLC,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1001,Expanding,False,True,VA,Prince William,Gainesville,38.802406,-77.58256,True,Point,GCDC PURCHASER PHASE 1 LLC,GCDC PURCHASER PHASE 1 LLC,482223.0,,,single_source_curated,
site_00007,I-66 and Route 29 Technology Park,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1002,Proposed,False,True,VA,Prince William,Gainesville,38.8008,-77.61256,True,Point,NTT Global Data Centers,I-66 and Route 29 Technology Park,2957680.0,,,single_source_curated,
site_00008,John Marshall CommonsTech Park,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1003,Proposed,False,True,VA,Prince William,Gainesville,38.803947,-77.61687,True,Point,CTP-1 LLC,John Marshall CommonsTech Park,530000.0,,,single_source_curated,
site_00009,VA 4,FracTracker|PNNL,2,2,PNNL,building,PNNL:building_00046831933,Operating,True,False,VA,Prince William County,Gainesville,38.778111268742116,-77.594876153305,True,Polygon,Digital Realty|PORPOISE VENTURES LLC (Digital Realty Trust),PORPOISE VENTURES LLC (Digital Realty Trust)|VA 4,227465.0,,,multi_source,FracTracker:frac_row_1004<->PNNL:building_00046831933:spatial_100m:17.944m
site_00010,Prince William Digital Gateway,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1005,Cancelled,False,True,VA,Prince William,Gainesville,38.82437,-77.56874,True,Point,"Compass, QTS Data Centers",Prince William Digital Gateway,22000000.0,,,single_source_curated,
site_00011,Microsoft Data Center 1,FracTracker|PNNL,2,3,PNNL,building,PNNL:building_00019787207,Proposed,True,True,VA,Prince William County,Gainesville,38.8024111256264,-77.58237918867958,True,Polygon,Microsoft,Microsoft Data Center 1|Microsoft Data Center 2|University Business Park,3800000.0,,,multi_source,FracTracker:frac_row_1006<->PNNL:building_00019787207:strong_name_supported_1km:891.21m ; FracTracker:frac_row_1006<->PNNL:building_01447029365:strong_name_supported_1km:621.542m
site_00012,Village Place at Gainesville Technology Park,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1007,Proposed,False,True,VA,Prince William,Gainesville,38.801834,-77.6206,True,Point,CTP-I LLC,Village Place at Gainesville Technology Park,1188143.0,,,single_source_curated,
site_00013,Cavalier Innsbrook Data Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1008,Operating,True,False,VA,Henrico,Glen Allen,37.660877,-77.57392,True,Point,HIGHWOODS PROP,Cavalier Innsbrook Data Center,,,,single_source_curated,
site_00014,Hunter Hawking Data Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1009,Cancelled,False,True,VA,Hanover,Glen Allen,37.71385,-77.6231,True,Point,,Hunter Hawking Data Center,4000000.0,,900,single_source_curated,
site_00015,Cogent Data Center Atlanta 1,FracTracker,1,1,FracTracker,,FracTracker:frac_row_101,Operating,True,False,GA,Fulton,Atlanta,33.75585,-84.39107,True,Point,Cogent Communications,Cogent Data Center Atlanta 1,,,,single_source_curated,
site_00016,Green Energy Ventures Data Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1010,Proposed,False,True,VA,King George,,38.256557,-77.29122,True,Point,,Green Energy Ventures Data Center,6500000.0,,,single_source_curated,
site_00017,Unnamed Data Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1011,Proposed,False,True,VA,Pittsylvania,Gretna,36.98035,-79.35187,True,Point,"BOLES, BRENDA ET ALS EAST, SHARON ET ALS BOLES, DOUGLAS ET ALS KELLEY, OTEY HARRIS III ET ALS KELLEY, CHARLES ET ALS",Unnamed Data Center,2280801.0,,,single_source_curated,
site_00018,DBT Data Cyber Integration Center,FracTracker,1,1,FracTracker,,FracTracker:frac_row_1012,Expanding,False,True,VA,Harrisonburg,Harrisonburg,38.462486,-78.8568,True,Point,AC 139 TYCO STREET LLC,DBT Data Cyber Integration Center,95500.0,,,single_source_curated,
