ejam_uniq_id,lat,lon,REGISTRY_ID,PRIMARY_NAME,NAICS,valid,invalid_msg
1,37.63191,-122.11972,110000483101,GILLIG LLC,"336211, 336510, 518210",TRUE,
2,39.048437,-77.119684,110001255105,ADP OF WASHINGTON,518210,TRUE,
3,39.08983,-77.15369,110001255132,"GENERAL ELECTRIC, ROCKVILLE",518210,TRUE,
4,41.6426,-93.77097,110001397710,R & R REALTY,518210,TRUE,
5,28.052689,-81.820222,110001410857,"INDUSTRIAL CONTAINER SERV-LAKELAND, LLC","312229, 313311, 314999, 325998, 332322, 332439, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 811310, 812320, 812990",TRUE,
6,39.832493,-105.003339,110001431549,LOCKHEED MARTIN - DENVER DATA CENTER,518210,TRUE,
7,36.15191,-95.9875,110001650393,BP AMOCO / 512 S CINCINNATI AVE SHARED SVC CTR,518210,TRUE,
8,39.714358,-75.741443,110001736649,COMPUTER SCIENCES CORPORATION,518210,TRUE,
9,39.31638,-76.74176,110001778354,CONTROL DATA CORP.,518210,TRUE,
10,39.11457,-77.2347,110001838502,GE INFORMATION SYSTEMS,518210,TRUE,
11,36.86775,-76.13272,110001889591,SENTARA HEALTHCARE,"518210, 621498, 622110",TRUE,
12,36.60181,-78.54992,110001894040,TECFUSIONS CLARKSVILLE LLC,"311330, 518210",TRUE,
13,37.65488,-77.57832,110001895799,FIRST HEALTH SERVICES CORPORATION,518210,TRUE,
14,38.98483,-77.42467,110001914821,22810-22860 INTERNATIONAL DRIVE LLC,"517110, 518210",TRUE,
15,42.62265,-71.18326,110002018995,HEWLETT PACKARD CORP,"334111, 334515, 518210, 541512, 541519, 561499, 811212",TRUE,
16,39.56056,-104.85887,110002375689,EQUINIX LLC - VDC I LLC,"517110, 517111, 517311, 518210",TRUE,
17,37.785224,-122.397143,110002947367,AT&T,518210,TRUE,
18,41.509421,-90.510085,110003050723,DEERE & CO,"518210, 551114",TRUE,
19,39.05949,-76.96499,110003550096,"PROSPERITY DRIVE DATA CENTER, LLC","518210, 522210, 522220",TRUE,
20,44.86288,-93.32892,110003756551,NATIONAL CAR RENTAL - MINNEAPOLIS,518210,TRUE,
21,44.939727,-93.109047,110003758194,1001 3RD AVENUE S,"337910, 518210, 811111, 811121",TRUE,
22,44.9146,-93.40307,110003907737,FIS GLOBAL,518210,TRUE,
23,44.88405,-93.4088,110003911606,HID GLOBAL EDEN PRAIRIE,"051821, 334119, 518210",TRUE,
24,44.85475,-93.22613,110003931513,CERIDIAN CORP,"518210, 541214",TRUE,
25,41.59939,-71.43365,110004913041,ICON INTERNATIONAL  INC,"335110, 335139, 518210",TRUE,
26,30.16486,-81.52425,110005274997,YELLOW TRANSPORTATION INC,"312229, 313311, 314999, 325998, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 812320, 812990",TRUE,
27,27.996247,-82.005769,110005627161,PHOSPHATE ENGINEERING & CONSTRUCTION,"312229, 313311, 314999, 325998, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 812320, 812990",TRUE,
28,28.016391,-82.427088,110005627517,"PRECISION COMMUNICATION SERVICES, INC.","115210, 238220, 312229, 313311, 314999, 325998, 425120, 442299, 443111, 444130, 444210, 451110, 488390, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561622, 561790, 561910, 561920, 561990, 562991, 562998, 711310, 711320, 711410, 711510, 811211, 811212, 811213, 811219, 811310, 811411, 811412, 811430, 811490, 812320, 812990",TRUE,
29,28.270566,-82.715333,110005645105,ASHLEY X-RAY SOLUTIONS,"312229, 313311, 314999, 325998, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 812320, 812921, 812922, 812990",TRUE,
30,28.078767,-81.660415,110005654915,SYNERGY RECYCLING OF CENTRAL FLORIDA LLC,"312229, 313311, 314999, 325998, 423930, 424710, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 562119, 711310, 711320, 711410, 812320, 812990",TRUE,
31,27.951768,-82.375791,110005990115,SOUTH FLORIDA TANK WASH INC,"312229, 313311, 314999, 325998, 425120, 488410, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 811122, 811191, 811198, 812320, 812990",TRUE,
32,31.36287,-94.679583,110006125870,LUFKIN PAPER MILL,"322121, 322122, 423930, 518210, 999999",TRUE,
33,28.027133,-82.065281,110006157498,"TR DRUM, LLC","312229, 313311, 314999, 325998, 332439, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 812320, 812990",TRUE,
34,35.15333,-106.5936,110006534241,CSC-A,518210,TRUE,
35,41.164484,-74.259083,110006702434,KYNDRYL INC - STERLING FOREST,"518210, 541512",TRUE,
36,28.016352,-81.904644,110007419169,MIDSTATE MACHINE & FABRICATION COMPANY,"115210, 238120, 238220, 312229, 313311, 314999, 325998, 332321, 332322, 332439, 332710, 332812, 332813, 332999, 333319, 333415, 333999, 334519, 336399, 339911, 339912, 339914, 425120, 442299, 444130, 444210, 451110, 488390, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561622, 561790, 561910, 561920, 561990, 562991, 562998, 711310, 711320, 711410, 711510, 811211, 811212, 811219, 811310, 811411, 811412, 811430, 811490, 812320, 812990",TRUE,
37,39.25003,-94.64872,110007644335,ST  LUKES NORTHLAND HOSPITAL-ST  LUKES NORTHLAND HOSPITAL,"518210, 622110",TRUE,
38,45.068772,-93.450487,110008658032,DATA RECOGNITION CORP/SCANDOCS DIVISION,"323111, 323119, 518210, 541511",TRUE,
39,45.07694,-93.08101,110008694760,INNOVISE,"051821, 518210",TRUE,
40,45.064105,-93.409323,110008817799,UHG-IT PLYMOUTH,"051821, 062111, 518210, 621112",TRUE,
41,44.943626,-93.095043,110008836484,RAMSEY COUNTY MICROFILM DEPT,"051821, 518210",TRUE,
42,39.97089,-83.12028,110009603312,IBM GLOBAL SERVICES (0125042152),"333998, 333999, 518210, 541519, 561499",TRUE,
43,27.911399,-81.981193,110011333360,KOLORTRAX UNLIMITED,"312229, 313311, 314999, 325998, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 811310, 812320, 812990",TRUE,
44,35.20782,-101.83829,110011437702,SOUTHWESTERN PUBLIC SERVICE,"221119, 221121, 221122, 518210, 522220, 541330, 541420, 541618",TRUE,
45,35.05497,-106.6243,110012157405,PRESBYTERIAN HEALTHCARE INFO SYS CTR,518210,TRUE,
46,36.26113,-95.90698,110012160311,DXC TECHNOLOGY SERVICES LLC / CHEROKEE DATA CENTER,518210,TRUE,
47,42.51857,-71.51168,110012166477,AMAZON COM SERVICES LLC DKO1,"334111, 493110, 518210",TRUE,
48,41.66587,-93.7101,110012169447,"JORDVERT, LLC","518210, 524210",TRUE,
49,40.762577,-73.974241,110012190832,TIFFANY'S FLAGSHIP STORE,518210,TRUE,
50,26.140815,-81.794872,110012582268,CITY CENTER PLAZA,"312229, 313311, 314999, 325998, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 812320, 812990",TRUE,
51,30.095833,-83.465278,110012583258,SADLER DRUM,"312229, 313311, 314999, 325998, 425120, 488490, 491110, 512240, 512290, 518210, 519190, 522320, 541199, 541340, 541350, 541370, 541410, 541420, 541490, 541870, 541890, 541930, 541990, 561410, 561421, 561422, 561431, 561439, 561440, 561491, 561499, 561591, 561599, 561790, 561910, 561920, 561990, 711310, 711320, 711410, 812320, 812990",TRUE,
52,35.10192,-106.588307,110013338833,TC ABQ RABINA INTERESTS LLC,518210,TRUE,
53,40.78608,-74.06785,110014633539,AT&T CORP,"517110, 517311, 518210",TRUE,
54,40.78606,-74.06778,110014687507,LANE BRYANT CO,"423390, 518210, 532490",TRUE,
55,40.54057,-74.53831,110015043781,DATAPIPE,"005415, 518210, 531390",TRUE,
56,40.77928,-74.0714,110015208274,BERNARD CHAUS INC,"518210, 541513",TRUE,
57,42.5479,-71.47007,110015656075,LUPOLI DEVELOPMENT,"334111, 518210",TRUE,
